rowid,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
12882,DEU,Germany,GuD Bitterfeld,WRI1005713,106.0,51.6257,12.327,Gas,,,,2000.0,envia THERM GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,410.79,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12883,DEU,Germany,GuD Kraftwerk Hillegossen,WRI1005714,37.5,52.0333,8.5333,Gas,,,,2005.0,Stadtwerke Bielefeld GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,145.32,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12884,DEU,Germany,GuD Leuna,WRI1005715,52.0,51.2998,12.0193,Gas,,,,1998.0,InfraLeuna GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,201.52,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12885,DEU,Germany,GuD Marienehe,WRI1005716,108.0,54.1255,12.0819,Gas,,,,1996.0,Stadtwerke Rostock AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,418.54,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12886,DEU,Germany,GuD Schwarzheide,WRI1005717,122.0,51.4762,13.8891,Gas,,,,1994.0,BASF Schwarzheide GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1010767,,,,,,,,,,,,,,472.79,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12887,DEU,Germany,GuD Tiefstack,WRI1005718,127.0,53.5267,10.0658,Gas,,,,2009.0,Vattenfall Europe Wärme Aktiengesellschaft,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,492.17,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12888,DEU,Germany,GuD-Anlage,WRI1005719,47.0,49.9882,9.1558,Gas,,,,2013.0,DS Smith Paper Deutschland GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,215.268,205.907,,,JRC-PPDB-OPEN,,,,,182.14,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12889,DEU,Germany,GuD-Anlage Rüsselsheim,WRI1005721,112.1,49.992,8.4141,Gas,,,,1999.0,Adam Opel AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,434.43,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12890,DEU,Germany,GuD-HKW Neubrandenburg,WRI1005722,75.0,53.5745,13.2951,Gas,,,,1997.0,Neubrandenburger Stadtwerke GmbH / VASA Kraftwerkepool GmbH und Co. KG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,1023878,,,,,,,,,,,,,,290.65,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
12891,DEU,Germany,GuD-Ikw Staßfurt,WRI1005723,132.0,51.8655,11.5738,Gas,,,,1996.0,KWG-Kraftwerksgesellschaft Staßfurt mbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,,,,,,,,,,,511.55,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
